name,country,state,city,address,location_on_map,area_size,history,speciality,best_months_to_visit,appealing_text,front_image,nearest_cities,airports,railway_stations,by_road_distances_from_railway_stations,by_road_distances_from_airports,by_road_distances_from_nearest_cities,weekly_closed_on,special_closed_dates,week_days_opening_time,week_days_closing_time,weekends_opening_time,weekends_closing_time
The Lotus Temple,India,Delhi,New Delhi,"Bahapur, New Delhi",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d77.2588!3d28.5535!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b40d682d491%3A0x7d42b7cc170f16fa!2sLotus+Temple%2C+New+Delhi%2C+Delhi%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,"6,000 sq. m",Built in 1986 as a Baháʼí House of Worship,Lotus-shaped Design,October - March,A symbol of peace and harmony with a unique architectural design,front_images/FI_lotus_temple.jpg,"Gurgaon, Faridabad, Noida",Indira Gandhi International Airport,Kalkaji Mandir Metro Station,Kalkaji Mandir Metro Station (2 km),Indira Gandhi International Airport (18 km),"Gurgaon (25 km), Faridabad (30 km)",Monday,National Holidays,9:00:00,19:00:00,9:00:00,19:00:00
Charminar,India,Telangana,Hyderabad,"Charminar, Hyderabad",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d78.4747!3d17.3616!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcb9eb2e54a321f%3A0x1749fe6a08b98d93!2sCharminar%2C+Hyderabad%2C+Telangana%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,"2,300 sq. m",Built in 1591 by Sultan Muhammad Quli Qutb Shah,Indo-Islamic Architecture,November - February,An iconic landmark with grand arches and historic significance,front_images/FI_charminar.jpg,"Secunderabad, Warangal, Nizamabad",Rajiv Gandhi International Airport,Hyderabad Deccan Railway Station,Hyderabad Deccan Railway Station (6 km),Rajiv Gandhi International Airport (20 km),"Secunderabad (10 km), Warangal (80 km)",Friday,National Holidays,9:30:00,17:30:00,9:30:00,18:00:00
Elephant Falls,India,Meghalaya,Shillong,"East Khasi Hills, Shillong",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d91.6349!3d25.5575!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3747c9e6f8f85881%3A0x2cf8e9b7ff56a73b!2sElephant+Falls%2C+Shillong%2C+Meghalaya%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,A picturesque waterfall nestled in the Khasi Hills,Scenic Waterfall,April - September,A peaceful retreat offering natural beauty and tranquility,front_images/FI_elephant_falls.jpg,"Guwahati, Tura, Nongstoin",Umroi Airport,Shillong Railway Station,Shillong Railway Station (10 km),Umroi Airport (35 km),"Guwahati (100 km), Tura (90 km)",Monday,National Holidays,8:00:00,17:00:00,8:00:00,18:00:00
Sanchi Stupa,India,Madhya Pradesh,Sanchi,"Sanchi, Madhya Pradesh",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d77.7478!3d23.4897!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3961d225cb60c799%3A0x4bfc9cb3f8a55034!2sSanchi+Stupa%2C+Sanchi%2C+Madhya+Pradesh%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,"Built by Emperor Ashoka in 3rd century BCE, a UNESCO World Heritage Site",Buddhist Architecture,October - March,A historic and peaceful site for learning about Buddhism,front_images/FI_sanchi_stupa.jpg,"Bhopal, Vidisha, Raisen",Raja Bhoj International Airport,Bhopal Junction,Bhopal Junction (46 km),Raja Bhoj International Airport (55 km),"Bhopal (46 km), Vidisha (10 km)",Monday,National Holidays,8:00:00,17:00:00,8:00:00,18:00:00
Rishikesh,India,Uttarakhand,Rishikesh,"Rishikesh, Uttarakhand",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d78.2676!3d30.0869!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d2f3832ff8101%3A0xf876b5c5ff11f9fe!2sRishikesh%2C+Uttarakhand%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,Known for its spiritual significance and adventure sports,Yoga and River Rafting,September - March,A serene town nestled along the banks of the Ganges River,front_images/FI_rishikesh.jpg,"Haridwar, Dehradun",Jolly Grant Airport,Rishikesh Railway Station,Rishikesh Railway Station (5 km),Jolly Grant Airport (30 km),"Haridwar (25 km), Dehradun (45 km)",Monday,National Holidays,0:00:00,0:00:00,0:00:00,0:00:00
Andaman Islands,India,Andaman and Nicobar Islands,Port Blair,"Port Blair, Andaman Islands",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d92.7466!3d11.6234!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b07b77c42d8c7b1%3A0x8481eaf5767fe736!2sPort+Blair%2C+Andaman+Islands%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,"A collection of over 500 islands, known for their beaches",Pristine Beaches,October - May,An untouched paradise with crystal clear waters and rich marine life,front_images/FI_andaman_islands.jpg,"Havelock, Neil Island",Veer Savarkar International Airport,Port Blair Railway Station,Port Blair Railway Station (1 km),Veer Savarkar International Airport (5 km),"Havelock (40 km), Neil Island (60 km)",Monday,National Holidays,9:00:00,18:00:00,9:00:00,19:00:00
Hampi,India,Karnataka,Hospet,"Hampi, Karnataka",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d76.4610!3d15.3350!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bb4b9c501b6e779%3A0x3702e91b07062a0c!2sHampi%2C+Hospet%2C+Karnataka%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,"A UNESCO World Heritage Site, the former Vijayanagara capital",Ancient Ruins,October - February,A city filled with ancient temples and stone monuments,front_images/FI_hampi.jpg,"Bellary, Hospet",Hubli Airport,Hospet Railway Station,Hospet Railway Station (13 km),Hubli Airport (165 km),"Bellary (50 km), Hospet (10 km)",Monday,National Holidays,9:00:00,17:00:00,9:00:00,18:00:00
Leh-Ladakh,India,Jammu & Kashmir,Leh,"Leh, Jammu & Kashmir",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d77.5789!3d34.1526!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2sLeh%2C+Ladakh%2C+Jammu+%26+Kashmir%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,"A popular destination for trekking, biking, and Buddhist culture",High Altitude Trekking,May - September,"A cold desert full of natural beauty, monasteries, and mountains",front_images/FI_leh_ladakh.jpg,"Srinagar, Manali",Kushok Bakula Rimpochee Airport,Leh Railway Station,Leh Railway Station (N/A),Kushok Bakula Rimpochee Airport (5 km),"Srinagar (420 km), Manali (480 km)",Monday,National Holidays,0:00:00,0:00:00,0:00:00,0:00:00
Ajanta Caves,India,Maharashtra,Aurangabad,"Ajanta, Maharashtra",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d75.7037!3d20.5661!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bb03b2827ab0ca5%3A0xc2a4c7c9cf3a467d!2sAjanta+Caves%2C+Aurangabad%2C+Maharashtra%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,"Dating back to 2nd century BC, Ajanta Caves are famous for ancient Buddhist murals and sculptures",Ancient Cave Paintings,October - March,A fascinating journey into ancient Buddhist history and art,front_images/FI_ajanta_caves.jpg,"Aurangabad, Jalna",Aurangabad Airport,Aurangabad Railway Station,Aurangabad Railway Station (30 km),Aurangabad Airport (60 km),"Jalna (60 km), Aurangabad (10 km)",Monday,National Holidays,9:00:00,18:00:00,9:00:00,18:00:00
Sikkim,India,Sikkim,Gangtok,"Gangtok, Sikkim",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d88.6132!3d27.3316!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39f5afed1d790687%3A0x9e9f982b9e6fa5ed!2sGangtok%2C+Sikkim%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,"Known for its monasteries, trekking routes, and stunning mountain views",Himalayan Treks,October - March,A peaceful and scenic state with Buddhist monasteries and mountain trails,front_images/FI_sikkim.jpg,"Darjeeling, Kalimpong",Bagdogra Airport,New Jalpaiguri Junction,New Jalpaiguri Junction (120 km),Bagdogra Airport (124 km),"Darjeeling (100 km), Kalimpong (70 km)",Monday,National Holidays,9:00:00,18:00:00,9:00:00,19:00:00
Coorg,India,Karnataka,Madikeri,"Coorg, Karnataka",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d75.8055!3d12.3303!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbe9f59395a017%3A0x25fd8f0a82d700fd!2sCoorg%2C+Karnataka%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,Famous for its coffee plantations and scenic hills,Coffee and Spice Plantations,October - March,A charming hill station with lush coffee estates and waterfalls,front_images/FI_coorg.jpg,"Mangalore, Hassan",Mangalore Airport,Madikeri Railway Station,Madikeri Railway Station (25 km),Mangalore Airport (120 km),"Mangalore (120 km), Hassan (100 km)",Monday,National Holidays,8:30:00,18:00:00,8:30:00,18:30:00
Kodaikanal,India,Tamil Nadu,Kodaikanal,"Kodaikanal, Tamil Nadu",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d77.4891!3d10.2364!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b0f94d45fe8e831%3A0x5d87a74b35ba6270!2sKodaikanal%2C+Tamil+Nadu%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,A charming hill station known for its cool climate and scenic views,Hill Station Getaway,October - March,A peaceful retreat surrounded by lush greenery and misty landscapes,front_images/FI_kodaikanal.jpg,"Madurai, Dindigul",Madurai Airport,Kodaikanal Railway Station,Kodaikanal Railway Station (N/A),Madurai Airport (130 km),"Madurai (130 km), Dindigul (70 km)",Monday,National Holidays,8:30:00,18:00:00,9:00:00,18:30:00
Rann of Kutch,India,Gujarat,Bhuj,"Kutch, Gujarat",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d68.7356!3d23.6603!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd78fd1f451ba29%3A0x8b72e0da617b76ee!2sKutch%2C+Gujarat%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,"30,000 sq. km",Known for the annual Rann Utsav and salt desert landscapes,Salt Desert and Rann Utsav,December - February,A unique landscape where the salt desert meets the sky,front_images/FI_rann_of_kutch.jpg,"Gandhidham, Bhuj",Kandla Airport,Bhuj Railway Station,Bhuj Railway Station (70 km),Kandla Airport (80 km),"Gandhidham (50 km), Bhuj (15 km)",Monday,National Holidays,9:00:00,18:00:00,9:00:00,19:00:00
Sundarbans,India,West Bengal,Kolkata,"Sundarbans, West Bengal",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d88.3249!3d21.9493!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39f4b183a498f687%3A0x7b948551a0249ad1!2sSundarbans%2C+West+Bengal%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,"10,000 sq. km","A UNESCO World Heritage site, famous for the Royal Bengal Tiger",Mangrove Forests,November - February,A sprawling mangrove forest and sanctuary for wildlife,front_images/FI_sundarbans.jpg,"Kolkata, Canning",Netaji Subhas Chandra Bose International Airport,Canning Railway Station,Canning Railway Station (60 km),Netaji Subhas Chandra Bose International Airport (120 km),"Kolkata (120 km), Canning (50 km)",Monday,National Holidays,9:00:00,17:00:00,9:00:00,18:00:00
